"Profession","Title","Company","Location"
"director","Directeur(trice), Rendement de nos gens (Talents)","Deloitte","Canada"
"director","DIRECTEUR CENTRE D'EXCELLENCE DE VALLEYFIELD","Meloche","Salaberry-de-Valleyfield, QC"
"director","Directeur(trice) production (de jour)","Les Industries Associées de l’Acier","Sainte-Catherine, QC"
"director","Directeur d'usine","Cascades","Montréal, QC"
"director","Directeur / Directrice de résidence","Château Résidence Sainte-Anne à Rawdon","Rawdon, QC"
"director","Directeur(trice) général(e)","Les Jardins Saint-Sacrement","Ville de Québec, QC"
"director","Director, Corporate Services / Directeur (trice), Services ministériels","Crown-Indigenous Relations and Northern Affairs...","Whitehorse, YT"
"director","Directrice / Directeur, Représentation générale","EDC","Ottawa, ON"
"director","Directrice ou directeur d'INOVEM","Victoriaville et sa région","Victoriaville, QC"
"director","Directeur(trice) de la réussite client, Sherbrooke (ou Télétravail)","Agendrix","Télétravail à Sherbrooke, QC"
"director","Directeur maintenance","Soprema","Drummondville, QC"
"director","Directeur(trice) adjoint(e) des ressources humaines","Collège de Rosemont","Télétravail à Rosemont, ON"
"director","DIRECTEUR(TRICE) DE RÉSIDENCE","Château Bellevue","Saint-Nicolas, QC"
"director","Directeur d'hébergement","Vigisante","Montréal, QC+ 1 lieu"
"director","Directeur.trice, développement et mobilisation","Centraide of Greater Montreal","Télétravail hybride à Montréal, QC"
"director","Directeur du développement de l'économie circulaire","Cascades","Saint-Bruno-de-Montarville, QC"
"director","Adjointe ou adjoint à la directrice générale des relations et affaires extérieures","Ministère de l'Immigration, de la Francisation et...","Montréal, QC"
"director","Directeur agricole Québec","Bonduelle","Brossard, QC"
"director","Directeur amélioration continue","Pultrall","Ville de Québec, QC+ 1 lieu"
"director","Directeur(trice), Gestion du changement","Olymel","Boucherville, QC"
"director","Directeur des opérations","Puits Bernier","Sherbrooke, QC"
"director","Directeur.trice développement du capital humain","SIGNÉ FRANÇOIS ROY","Sainte-Perpétue, QC"
"director","Directeur·trice d’usine","Cook it","Montréal, QC"
"director","Directeur(trice), investissements","Boralex","Montréal, QC"
"director","DIRECTEUR SALUBRITÉ","Groupe Leclerc","Hawkesbury, ON"
"director","Directeur (trice) restauration","Compass Group","Montréal, QC"
"director","Directeur","Université du Québec à Trois-Rivières","Trois-Rivières, QC"
"director","Directeur(trice) commercial(e) Mirabel","Avantis Coopérative","Mirabel, QC"
"director","Agronome / Directeur de production","Bunny Farm","Saint-Hyacinthe, QC"
"director","Directeur, analyses et rapports (à distance)","Tigre Géant","Ottawa, ON"
"director","Directeur Restaurant Le Vestibule signé L'Aurochs","RESTOS QUARTIERDIX30","Brossard, QC"
"director","Directeur(-trice) de restaurant","SHAKER Cuisine & Mixologie","Drummondville, QC"
"director","Directrice ou directeur, Commerce international – Technologies numériques","EDC","Ottawa, ON"
"director","Directeur (trice) de comptes","Desjardins","Montréal, QC+ 2 lieux"
"director","Directeur·trice informatique","Croisières AML","Ville de Québec, QC"
"director","Directeur exécution des commandes","Cascades","Candiac, QC"
"director","Directeur.trice des opérations réseau domicile","Québecor","Télétravail hybride à Mirabel, QC"
"director","Gérant / Directeur","Barbara Personnel","Gatineau, QC"
"director","Directeur(trice) de la maintenance","Chartwell Manoir Saint-Jérôme","Saint-Jérôme, QC"
"director","Directeur de service","Cintas","Montréal, QC"
"director","DIRECTEUR(TRICE) PLACE D'AFFAIRES / St-Rémi","Ortec Group","Saint-Rémi, QC"
"director","Directrice ou directeur du Centre d'innovation en ébénisterie et meuble (INOVEM)","Cégep de Victoriaville","Victoriaville, QC"
"director","directeur/directrice d'organisation non gouvernementale (ONG)","Le Mashado","Sainte-cecile-de-masham, QC"
"director","Directeur des ventes","Pierre Belvédère","Montréal, QC"
"director","Directeur(trice) de la maintenance","Chartwell Domaine de Bordeaux","Ville de Québec, QC"
"director","Directeur(rice) Approvisionnement (Acquisitions)","Ville de Montréal","Télétravail hybride à Montréal, QC"
"director","Directeur(trice) général(e)","Résidence Le Languedoc","Vaudreuil-Dorion, QC"
"director","Directeur/Directrice de restaurant","Groupe D Resto","Trois-Rivières, QC+ 5 lieux"
"director","Directeur.trice de production","Soucy Group","Drummondville, QC"
"director","Directeur principal","Intertek","Canada"
"director","Directeur de comptes, Réseau régional","Investissement Québec","Montréal, QC"
"director","Directeur expert-Support aux ventes-Secteur Manufacturier","CGI","Montréal, QC"
"director","Directeur(trice) de la maintenance","Chartwell Bois-de-Boulogne","Montréal, QC"
"director","Directeur, Expérience client en formation","TD Bank","Montréal, QC"
"director","Directeur financier - Véhicules neufs","Groupe Saillant","Ville de Québec, QC"
"director","Directeur des opérations","Compass Group","Montréal, QC"
"director","Directrice générale ou directeur général du laboratoire des chaussées","Ministère des Transports","Télétravail à Capitale-Nationale, QC"
"director","Directeur général - Vieux Montréal","Cogir","Montréal, QC"
"director","25 - Directeur","Deloitte","Ville de Québec, QC"
"director","Directeur des relations d'affaires","Financement agricole Canada","Abbotsford, BC+ 1 lieu"
"director","Directeur de succursale","Sherwin-Williams","Orleans, ON+ 5 lieux"
"director","DIRECTEUR DE QUART - 3X12H","Groupe Leclerc","Saint-Augustin-de-Desmaures, QC"
